EpSubNum	EpSocSecNum	EpFname	EpMInit	EpLName	EpAdd1	EpAdd2	EpCity	EpState	EpZip	EpHomePhone	JbHireDate	EpGender	EpDateOfBirth	JbEmpNum	JbEmpCode	JbStatCode	JbTermDate	JbTermReason	JbHourPay	JbBudgetedHrs	JbClassification
2	312-00-2345	DEANKA		SHERMAN	2059 JUNIPER WAY		KAWKAWLIN	MI	48631	(989)555-8542	3/10/2003	2	3/24/1981	1	F	TERMINATED	6/30/2003	R	8.92	80	304
2	383-00-8492	DARLENE	L	RIDER	081 OLD STATE ROAD		BAY CITY	MI	48708	(989)555-5547	8/21/1987	2	11/30/1984	3	P	ACTIVE	00/00/0000		10.5	48	304
2	365-00-5605	DEBORAH	A	LEGUE	719 GRIGGS DRIVE		BAY CITY	MI	48708	(989)555-0187	10/22/1979	2	12/9/1938	4	P	ACTIVE	00/00/0000		10.54	0	115
2	375-00-9656	LORRAINE	K	DRABBLE	302 BROBECK		BAY CITY	MI	48706	(989)555-4391	9/4/1973	2	10/5/1964	5	F	ACTIVE	00/00/0000		24.67	0	307
2	372-00-4959	MARCEY		BRITKO	912 BRIGGS		BAY CITY	MI	48706	(989)555-9126	6/17/2003	2	4/22/1945	6	F	ACTIVE	00/00/0000		19.12	0	109
2	373-00-2506	SYLVIA		WICKER	379 DON SHENK		BAY CITY	MI	48706	(989)555-7753	7/7/1997	2	11/17/1952	7	P	ACTIVE	00/00/0000		30.09	0	309
2	385-00-6545	ANNE		WISE	487 BAY MEADOWS CT		ESSEXVILLE	MI	48732	(989)555-6210	4/18/1994	2	7/21/1948	8	P	TERMINATED	6/18/2003	F	25.18	0	309
2	370-00-2723	MELISSA	S	ADCOCK	402 MAPLE ST		ESSEXVILLE	MI	48732	(989)555-0713	8/23/1971	2	10/31/1956	9	F	ACTIVE	00/00/0000		11.1	80	115
2	371-00-8839	SANDRA		RICHARDSON	200 W FRANCES		BAY CITY	MI	48708	(989)555-9379	7/24/2000	2	3/13/1953	10	P	TERMINATED	12/21/1996	R	25	0	309
2	367-00-2890	HEATHER	M	SWEENEY	194 LINUS STREET		BAY CITY	MI	48706	(989)555-2110	12/4/2000	2	9/3/1951	11	F	ACTIVE	00/00/0000		25.15	0	309
2	017-00-8870	EMILY		TONN	414 N IRISH		UNIONVILLE	MI	48767	(989)555-7637	5/28/1997	2	2/14/1982	12	F	ACTIVE	00/00/0000		23.65	80	115
2	362-00-6847	JUDY		RUPPAL	191 LAUDERDALE		MAYVILLE	MI	48744	(989)555-3664	8/26/2002	2	8/11/1972	13	F	ACTIVE	00/00/0000		16.53	48	309
2	374-00-3083	CAROLINE		PAINE	0126 SHARP ROAD		KAWKAWLIN	MI	48631	(989)555-3422	4/22/1996	2	10/3/1973	14	F	ACTIVE	00/00/0000		17	80	309
