CompanyCode	SSN	Fname	Minit	Lname	Addr1	Addr2	City	State	Zip	HomePhone	HireDate	Gender	BirthDate	EmpNum	EmpCode	Status	TermDate	TermCode	BasePay	HrsPerPay	JobCode
003	378008529	DAVID       	R	BRISSETTE	365 TANGLEWOOD         		MIDLAND	MI	48640	(989)555-3755	03/10/2003	male	01/28/1958	378768529	F	T	06/30/2003	1	8.92	80	104
003	368004747	DEBORAH     		PRIME	095 FARNER RD          		ESSEXVILLE	MI	48732	(989)555-6402	08/21/1987	female	08/07/1956	368824747	P	A	00/00/0000		10.5	48	115
003	383006660	DEBORAH     	N	MADAJ	60 BUR OAK             		BAY CITY	MI	48708	(989)555-5840	10/22/1979	female	01/23/1979	383666660	P	A	00/00/0000		10.54	0	203
003	379003927	DONNA       		FOX	2216 WINDCHILL WAY     		BAY CITY	MI	48706	(989)555-7643	09/04/1973	female	07/31/1973	379743927	F	A	00/00/0000		24.67	0	207
003	362004864	GERALD      	D	CLOUTIER	621 CLAIRMONT          		ESSEXVILLE	MI	48732	(989)555-9643	06/17/2003	male	12/12/1957	362624864	F	A	00/00/0000		19.12	0	105
003	386006994	KEVIN       	L	ALMOND	737 NEMER COURT        		PINCONNING	MI	48650	(989)555-9585	07/07/1997	male	12/06/1967	386946994	P	A	00/00/0000		30.09	0	213
003	377005038	LIKITA      	A	ENGLEHARDT	150 GLEN GROVE DRIVE   		BAY CITY	MI	48706	(989)555-1884	04/18/1994	female	12/20/1951	377665038	P	T	06/18/2003	1	25.18	0	212
003	370001544	MARDALEE    	K	KEMMER	104 THORNRIDGE DRIVE   		BAY CITY	MI	48706	(989)555-2233	08/23/1971	female	07/03/1951	370941544	F	A	00/00/0000		11.1	80	214
003	369002072	MARDALEE    	 	BANASZAK	341 CRYSTAL LAKE DRIVE 		ESSEXVILLE	MI	48732	(989)555-4946	07/24/2000	female	05/26/1975	369042072	P	T	12/21/1996	3	25	0	213
003	371009243	MARTHA      	 	VANHAAREN	897 REESE ROAD         		LINWOOD	MI	48634	(989)555-8312	12/04/2000	female	10/06/1947	371029243	F	A	00/00/0000		25.15	0	212
003	218002298	MONICA      	 	VASQUEZ	4061 W LANEDEN         		STANDISH	MI	48658	(989)555-1288	05/28/1997	female	02/16/1954	218152298	F	A	00/00/0000		23.65	80	214
003	365009518	NANCY       	S	KOLB	028 RIEGLER            		ESSEXVILLE	MI	48732	(989)555-6867	08/26/2002	female	08/22/1951	365589518	F	A	00/00/0000		16.53	48	104
003	527008600	PAMELA      	 	GOULET	374 STONEBROOK COURT   		BAY CITY	MI	48706	(989)555-4680	04/22/1996	female	05/27/1967	527518600	F	A	00/00/0000		17	80	104
003	380001876	REBECCA     	M	RICARD	369 DIXON              		FRANKENMUTH	MI	48734	(989)555-4616	03/08/1989	female	12/04/1954	380801876	C	A	00/00/0000		23.35	80	104
003	365006598	SHIRLEY     	 	LAWRENCE	258 S KEARSLEY LK BLVD 		BAY CITY	MI	48708	(989)555-5119	10/13/1997	female	09/02/1972	365766598	F	A	00/00/0000		20.74	0	104
003	551004006	SUSANNE     	 	VILLANO	110 LAKE PLESANT ROAD  		REESE	MI	48757	(989)555-2593	03/27/2001	female	07/23/1970	551194006	F	A	00/00/0000		12	80	115
003	375005568	TAMARA      	 	BIRCHLER	5665 IMLAY CITY ROAD   		CARO	MI	48723	(989)555-1806	11/11/2002	female	06/19/1970	375685568	F	A	00/00/0000		21.66	80	212
003	363002449	TAMORA      	F	STREETER	438 WISCONSIN AVE      		BAY CITY	MI	48706	(989)555-5243	06/14/1999	female	03/14/1971	363582449	C	A	00/00/0000		28.797	80	214
003	378002876	THEODORA    	 	COONAN	0107 WILLOW BROOK DR   		BAY CITY	MI	48708	(989)555-5118	11/11/2002	female	10/09/1968	378622876	F	T	03/30/2001	5	9	80	104
